Task Name,Description,Level,Level Name,Work Areas,Sort Order
L1-001,"Complete the FLT induction assessment and on-boarding",1,New Starter,"Keg line - inside, Keg line - outside, Keg loading, Can lines, Bot lines, Packaging, Piloting, Loading",1
L1-002,"Knows and understands safety procedures around FLT.",1,New Starter,"",2
L1-003,"Complete the pre-assessment questionnaire & assessment given RT/TR instructor.",1,New Starter,"",3
L1-004,"Review and understand the FLT theory test & practical test and understand/pass the manual refresher",1,New Starter,"",4
L1-005,"Knows and understand the basic controls and guidance plus the general principle & purpose of VPO.",1,New Starter,"",5
L1-006,"Knows and understands basic warehouse layout and traffic paths.",1,New Starter,"",6
L1-007,"Knows and understands safe working techniques and use of ASRS.",1,New Starter,"",7
L1-008,"Understands and has basic operational understanding of WMS terminals and IT introduction.",1,New Starter,"",8
L1-009,"Understanding PPE requirements for all logistics areas",1,New Starter,"",9
L1-010,"Understands basic hand hygiene, cleaning process and Code of Practice",1,New Starter,"",10
L1-011,"Understands the risks associated with the storage and handling of Chemical substances.",1,New Starter,"",11
L1-012,"Understands the operational controls & emergency response procedures regarding fire evacuation.",1,New Starter,"",12
L1-013,"Understands and apply the Incident/accident procedures and reporting. How the pauses in Logistics.",1,New Starter,"",13
L1-014,"Understands the applicable procedures, recording standards, and near miss process related to task specific safety.",1,New Starter,"",14
L1-015,"Knows and understands basic information around Quality and awareness of EES Process",1,New Starter,"",15
L1-016,"Understands the basic controls and guidance plus the general principle & purpose of VPO. Awareness of the VPO introduction training document",1,New Starter,"",16
L1-017,"Able to identify and deal with hazards, operational controls, and preventative measures during normal warehouse operations.",1,New Starter,"",17
L1-018,"Understands the Red zone policy and general transport safety procedures.",1,New Starter,"",18
L1-019,"Understands basic SB principles and cleaning procedures within department.",1,New Starter,"",19
L1-020,"Knows and understands the process of waste segregation, netting operation at source, storage and disposal.",1,New Starter,"",20
L1-021,"Understands the environmental hazards and risks in Logistics (i.e., safety data sheet and relevant MSD) related to normal operations.",1,New Starter,"",21
L1-022,"The material handling procedure throughout the logistics area",1,New Starter,"",22
L1-023,"Understands the principle of safe storage, all products and how this can be applied daily.",1,New Starter,"",23
L1-024,"Knows and understand how to identify key hot tasks in all process – moving to docks, opening trailer curtains & doors, working at height etc.",1,New Starter,"",24
L1-025,"Understands the site safety & environmental policy and how it applies in their role.",1,New Starter,"",25
L1-026,"Active against breaks/controls in Logistics by reporting hazards, and be involved in the solution to correct.",1,New Starter,"",26
L1-027,"Knows and understands material handling procedures and guidelines, and the controls related to improper manual handling.",1,New Starter,"",27
L1-028,"Know and apply the principles of trailer safety - Safety whilst docker / counterbalance.",1,New Starter,"",28
